F1 - Bug ID,F2 - Bug severety,F3 - Bug labels,F4 - # Bug discussants,F4.1 - Bug discussant roles,F4.2 - Bug reporter role,F4.3 - Bug assignee role,F4.4 - Bug creator role,F8 - # Bug reopened,F9 - # Bug comments,F10 - # Bug comments after closing (first)
Elastic Search 1134,[None],"[['>bug', 'v0.17.1', 'v0.18.0']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 1154,[None],"[['>bug', 'v0.18.0', 'v0.17.2']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 1162,[None],"[['>bug', 'v0.18.0', 'v0.17.2']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 12193,[None],"[['>bug', 'v2.0.0-beta1', ':Delivery/Packaging', 'Team:Delivery']]",[1],[['not involved']],['not involved'],['not involved'],['not involved'],[0],[1],[0]
Elastic Search 1380,[None],"[['>bug', 'v0.18.0']]",[1],[['not involved']],['not involved'],[None],['not involved'],[0],[0],[0]
Elastic Search 14782,[None],"[['>bug', 'good first issue', ':Search/Search']]",[2],"[['not involved', 'not involved']]",['not involved'],[None],['not involved'],[0],[1],[0]
Elastic Search 15858,[None],"[['>bug', 'discuss', ':Search/Search']]",[4],"[['core', 'not involved', 'not involved', 'not involved']]",['not involved'],[None],['not involved'],[0],[8],[0]
Elastic Search 16246,[None],"[['>bug', ':Data Management/Ingest Node']]",[3],"[['core', 'not involved', 'not involved']]",['not involved'],[None],['not involved'],[0],[4],[1]
Elastic Search 1626,[None],"[['>bug', 'v0.19.0.RC1']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 16790,[None],"[['>bug', ':Delivery/Packaging', 'Team:Delivery']]",[2],"[['core', 'not involved']]",['not involved'],['core'],['not involved'],[0],[1],[0]
Elastic Search 1725,[None],"[['>bug', 'v0.19.0']]",[2],"[['not involved', 'core']]",['not involved'],[None],['not involved'],[0],[1],[0]
Elastic Search 1814,[None],"[['>bug', 'v0.20.0.RC1', 'v0.19.2']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 1948,[None],"[['>bug', 'v0.20.0.RC1', 'v0.19.4']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
Elastic Search 1960,[None],"[['>bug', 'v0.20.0.RC1', 'v0.19.4']]",[1],[['core']],['core'],[None],['core'],[0],[0],[0]
