F1 - Bug ID,XF1 - # Bug linked messages,XF2 - Bug Linked messages,XF3 - # Introducing issue linked messages,XF4 - Introducing issue Linked messages,ML2 - # ML bug disussants,ML2.1 - ML bug discussant roles,ML5 - # ML bug introducing disussants,ML5.1 - ML bug introducing discussant roles
Elastic Search 1134,0,[],0,[],0,[],0,[]
Elastic Search 1134 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1154,0,[],0,[],0,[],0,[]
Elastic Search 1154 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1162,0,[],0,[],0,[],0,[]
Elastic Search 1162 - CG,0,[],0,[],0,[],0,[]
Elastic Search 12193,0,[],0,[],0,[],0,[]
Elastic Search 12193 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1380,0,[],0,[],0,[],0,[]
Elastic Search 1380 - CG,0,[],0,[],0,[],0,[]
Elastic Search 14782,0,[],0,[],0,[],0,[]
Elastic Search 14782 - CG,0,[],0,[],0,[],0,[]
Elastic Search 15858,0,[],0,[],0,[],0,[]
Elastic Search 15858 - CG,0,[],0,[],0,[],0,[]
Elastic Search 16246,0,[],0,[],0,[],0,[]
Elastic Search 16246 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1626,0,[],0,[],0,[],0,[]
Elastic Search 1626 - CG,0,[],0,[],0,[],0,[]
Elastic Search 16790,0,[],0,[],0,[],0,[]
Elastic Search 16790 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1725,0,[],0,[],0,[],0,[]
Elastic Search 1725 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1814,0,[],0,[],0,[],0,[]
Elastic Search 1814 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1948,0,[],0,[],0,[],0,[]
Elastic Search 1948 - CG,0,[],0,[],0,[],0,[]
Elastic Search 1960,0,[],0,[],0,[],0,[]
Elastic Search 1960 - CG,0,[],0,[],0,[],0,[]
Elastic Search 200,0,[],0,[],0,[],0,[]
Elastic Search 200 - CG,0,[],0,[],0,[],0,[]
Elastic Search 2566,0,[],0,[],0,[],0,[]
Elastic Search 2566 - CG,0,[],0,[],0,[],0,[]
Elastic Search 2608,0,[],0,[],0,[],0,[]
Elastic Search 2608 - CG,0,[],0,[],0,[],0,[]
Elastic Search 2991,0,[],0,[],0,[],0,[]
Elastic Search 2991 - CG,0,[],0,[],0,[],0,[]
Elastic Search 3242,0,[],0,[],0,[],0,[]
Elastic Search 3242 - CG,0,[],0,[],0,[],0,[]
Elastic Search 3267,0,[],0,[],0,[],0,[]
Elastic Search 3267 - CG,0,[],0,[],0,[],0,[]
Elastic Search 3560,0,[],0,[],0,[],0,[]
Elastic Search 3560 - CG,0,[],0,[],0,[],0,[]
Elastic Search 4581,0,[],0,[],0,[],0,[]
Elastic Search 4581 - CG,0,[],0,[],0,[],0,[]
Elastic Search 4814,0,[],0,[],0,[],0,[]
Elastic Search 4814 - CG,0,[],0,[],0,[],0,[]
Elastic Search 5021,0,[],0,[],0,[],0,[]
Elastic Search 5021 - CG,0,[],0,[],0,[],0,[]
Elastic Search 5048,0,[],0,[],0,[],0,[]
Elastic Search 5048 - CG,0,[],0,[],0,[],0,[]
Elastic Search 5165,0,[],0,[],0,[],0,[]
Elastic Search 5165 - CG,0,[],0,[],0,[],0,[]
Elastic Search 5948,0,[],0,[],0,[],0,[]
Elastic Search 5948 - CG,0,[],0,[],0,[],0,[]
Elastic Search 7623,0,[],0,[],0,[],0,[]
Elastic Search 7623 - CG,0,[],0,[],0,[],0,[]
Elastic Search 764,0,[],0,[],0,[],0,[]
Elastic Search 764 - CG,0,[],0,[],0,[],0,[]
Elastic Search 7686,0,[],0,[],0,[],0,[]
Elastic Search 7686 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8125,0,[],0,[],0,[],0,[]
Elastic Search 8125 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8438,0,[],0,[],0,[],0,[]
Elastic Search 8438 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8507,0,[],0,[],0,[],0,[]
Elastic Search 8507 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8526,0,[],0,[],0,[],0,[]
Elastic Search 8526 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8580,0,[],0,[],0,[],0,[]
Elastic Search 8580 - CG,0,[],0,[],0,[],0,[]
Elastic Search 864,0,[],0,[],0,[],0,[]
Elastic Search 864 - CG,0,[],0,[],0,[],0,[]
Elastic Search 8893,0,[],0,[],0,[],0,[]
Elastic Search 8893 - CG,0,[],0,[],0,[],0,[]
Elastic Search 9317,0,[],0,[],0,[],0,[]
Elastic Search 9317 - CG,0,[],0,[],0,[],0,[]
NOVA 1294939,0,[],10,"['<52D41113.5060907@redhat.com>', '<52D302C7.8060909@redhat.com>', '<CAGR=i3gOyB0+hMcFgpjKTc1ZZZct_094mOjpq+kLCmfL0SeWKA@mail.gmail.com>', '<52D15BDB.6030604@redhat.com>', '<52D17384.6080603@dague.net>', '<D7AF891A-0498-4C3B-9752-B32EC27422E7@yahoo-inc.com>', '<52D1C053.9060508@redhat.com>', '<52E9308B.2080401@redhat.com>', '<52E9335C.2060804@linux.vnet.ibm.com>', '<CABA+jQo_OMvYx8UsdPG=JHRpCHcYST8bWdXb2v3wmr5hea578g@mail.gmail.com>']",0,[],7,"['not involved', 'not involved', 'not involved', 'not involved', 'core', 'core', 'not involved']"
NOVA 1294939 - CG,1,['<52A78D60.204@linux.vnet.ibm.com>'],0,[],1,['core'],0,[]
NOVA 1300788,0,[],1,['<2095840124.1441192.1373928194048.JavaMail.root@vmware.com>'],0,[],1,['peripheral']
NOVA 1300788 - CG,0,[],0,[],0,[],0,[]
NOVA 1307791,0,[],0,[],0,[],0,[]
NOVA 1307791 - CG,0,[],0,[],0,[],0,[]
NOVA 1314677,0,[],0,[],0,[],0,[]
NOVA 1314677 - CG,3,"['<143319292.26341739.1375750900977.JavaMail.root@redhat.com>', '<1456368584.27125203.1375799345778.JavaMail.root@redhat.com>', '<OF26FE6722.B71E5577-ON86257BC3.000B26BE-86257BC3.000B4F55@us.ibm.com>']",0,[],2,"['core', 'core']",0,[]
NOVA 1336127,0,[],3,"['<53B5987D.2040906@redhat.com>', '<6AF484C0160C61439DE06F17668F3BCB533180B0@ORSMSX114.amr.corp.intel.com>', '<CAJ3HoZ2F50FydtEGKTHTX_g4XS1LvcBs+tSviMqyYt2b4Vo5Sw@mail.gmail.com>']",0,[],3,"['peripheral', 'not involved', 'core']"
NOVA 1336127 - CG,0,[],0,[],0,[],0,[]
NOVA 1343080,2,"['<53CAD6A2.8040504@gmail.com>', '<CANw6fcGvZj0C74tRTzmrvgh2zz95GbH-Jn+qA=SbcM9=hKf9Yw@mail.gmail.com>']",0,[],2,"['core', 'not involved']",0,[]
NOVA 1343080 - CG,0,[],0,[],0,[],0,[]
