F1 - Bug ID,O3 - # Discussants in other media,O3.1 - Discussant roles in other media
Elastic Search 1134,,
Elastic Search 1134 - CG,,
Elastic Search 1154,,
Elastic Search 1154 - CG,,
Elastic Search 1162,,
Elastic Search 1162 - CG,,
Elastic Search 12193,,
Elastic Search 12193 - CG,,
Elastic Search 1380,,
Elastic Search 1380 - CG,,
Elastic Search 14782,,
Elastic Search 14782 - CG,,
Elastic Search 15858,,
Elastic Search 15858 - CG,,
Elastic Search 16246,,
Elastic Search 16246 - CG,,
Elastic Search 1626,,
Elastic Search 1626 - CG,,
Elastic Search 16790,,
Elastic Search 16790 - CG,,
Elastic Search 1725,,
Elastic Search 1725 - CG,,
Elastic Search 1814,,
Elastic Search 1814 - CG,,
Elastic Search 1948,,
Elastic Search 1948 - CG,,
Elastic Search 1960,,
Elastic Search 1960 - CG,,
Elastic Search 200,,
Elastic Search 200 - CG,,
Elastic Search 2566,,
Elastic Search 2566 - CG,,
Elastic Search 2608,,
Elastic Search 2608 - CG,,
Elastic Search 2991,,
Elastic Search 2991 - CG,,
Elastic Search 3242,,
Elastic Search 3242 - CG,,
Elastic Search 3267,,
Elastic Search 3267 - CG,,
Elastic Search 3560,,
Elastic Search 3560 - CG,,
Elastic Search 4581,,
Elastic Search 4581 - CG,,
Elastic Search 4814,,
Elastic Search 4814 - CG,,
Elastic Search 5021,,
Elastic Search 5021 - CG,,
Elastic Search 5048,,
Elastic Search 5048 - CG,,
Elastic Search 5165,,
Elastic Search 5165 - CG,,
Elastic Search 5948,,
Elastic Search 5948 - CG,,
Elastic Search 7623,,
Elastic Search 7623 - CG,,
Elastic Search 764,,
Elastic Search 764 - CG,,
Elastic Search 7686,,
Elastic Search 7686 - CG,,
Elastic Search 8125,,
Elastic Search 8125 - CG,,
Elastic Search 8438,,
Elastic Search 8438 - CG,,
Elastic Search 8507,,
Elastic Search 8507 - CG,,
Elastic Search 8526,,
Elastic Search 8526 - CG,,
Elastic Search 8580,,
Elastic Search 8580 - CG,,
Elastic Search 864,,
Elastic Search 864 - CG,,
Elastic Search 8893,,
Elastic Search 8893 - CG,,
Elastic Search 9317,,
Elastic Search 9317 - CG,,
NOVA 1294939,,
NOVA 1294939 - CG,,
NOVA 1300788,,
NOVA 1300788 - CG,,
NOVA 1307791,,
NOVA 1307791 - CG,,
NOVA 1314677,,
NOVA 1314677 - CG,,
NOVA 1336127,,
NOVA 1336127 - CG,,
NOVA 1343080,,
NOVA 1343080 - CG,,
NOVA 1367363,,
NOVA 1367363 - CG,,
NOVA 1370177,,
NOVA 1370177 - CG,,
NOVA 1370590,,
NOVA 1370590 - CG,,
NOVA 1371677,,
NOVA 1371677 - CG,,
NOVA 1375379,,
NOVA 1375379 - CG,,
NOVA 1381468,,
NOVA 1381468 - CG,,
NOVA 1392798,,
NOVA 1392798 - CG,,
NOVA 1402535,,
NOVA 1402535 - CG,,
NOVA 1402728,,
NOVA 1402728 - CG,,
NOVA 1403544,,
NOVA 1403544 - CG,,
NOVA 1419002,,
NOVA 1419002 - CG,,
NOVA 1424647,,
NOVA 1424647 - CG,,
NOVA 1434855,,
NOVA 1434855 - CG,,
NOVA 1437855,,
NOVA 1437855 - CG,,
NOVA 1438331,,
NOVA 1438331 - CG,,
NOVA 1441000,,
NOVA 1441000 - CG,,
NOVA 1443697,,
NOVA 1443697 - CG,,
NOVA 1443970,,
NOVA 1443970 - CG,,
NOVA 1447249,,
NOVA 1447249 - CG,,
NOVA 1453274,,
NOVA 1453274 - CG,,
NOVA 1466390,,
NOVA 1466390 - CG,,
NOVA 1467451,,
NOVA 1467451 - CG,,
NOVA 1475356,,
NOVA 1475356 - CG,,
NOVA 1475911,,
NOVA 1475911 - CG,,
NOVA 1481078,,
NOVA 1481078 - CG,,
NOVA 1486541,,
NOVA 1486541 - CG,,
NOVA 1505471,,
NOVA 1505471 - CG,,
