F1 - Bug ID,XR1 - Reviews,R3 - # Reviewers,R4 - Reviewer types,R5 - # Review comments,R6 - # Rounds of code review,R12 - # Review comments after closed
Elastic Search 1134,[],[],[],[],[],[]
Elastic Search 1134 - CG,[],[],[],[],[],[]
Elastic Search 1154,[],[],[],[],[],[]
Elastic Search 1154 - CG,[],[],[],[],[],[]
Elastic Search 1162,[],[],[],[],[],[]
Elastic Search 1162 - CG,[],[],[],[],[],[]
Elastic Search 12193,[],[],[],[],[],[]
Elastic Search 12193 - CG,[],[],[],[],[],[]
Elastic Search 1380,[],[],[],[],[],[]
Elastic Search 1380 - CG,[],[],[],[],[],[]
Elastic Search 14782,"['13788', '12943', '12694', '12527']","[3, 2, 3, 2]","[['core', 'core', 'core'], ['not involved', 'core'], ['not involved', 'not involved', 'core'], ['core', 'not involved']]","[4, 3, 4, 14]","[0, 0, 1, 6]","[3, 0, 0, 0]"
Elastic Search 14782 - CG,[],[],[],[],[],[]
Elastic Search 15858,[],[],[],[],[],[]
Elastic Search 15858 - CG,['1258'],[4],"[['core', 'core', 'not involved', 'not involved']]",[11],[0],[8]
Elastic Search 16246,"['15283', '15564', '16049']","[3, 0, 6]","[['not involved', 'core', 'core'], [], ['core', 'core', 'not involved', 'core', 'not involved', 'not involved']]","[15, 0, 19]","[4, 0, 4]","[0, 0, 1]"
Elastic Search 16246 - CG,"['14899', '15336']","[3, 2]","[['not involved', 'core', 'core'], ['not involved', 'core']]","[12, 6]","[4, 1]","[1, 0]"
Elastic Search 1626,[],[],[],[],[],[]
Elastic Search 1626 - CG,[],[],[],[],[],[]
Elastic Search 16790,['12801'],[5],"[['not involved', 'not involved', 'not involved', 'core', 'core']]",[11],[0],[0]
Elastic Search 16790 - CG,['13704'],[1],[['core']],[1],[0],[0]
Elastic Search 1725,[],[],[],[],[],[]
Elastic Search 1725 - CG,[],[],[],[],[],[]
Elastic Search 1814,[],[],[],[],[],[]
Elastic Search 1814 - CG,[],[],[],[],[],[]
Elastic Search 1948,[],[],[],[],[],[]
Elastic Search 1948 - CG,['639'],[0],[[]],[0],[0],[0]
Elastic Search 1960,[],[],[],[],[],[]
Elastic Search 1960 - CG,[],[],[],[],[],[]
Elastic Search 200,[],[],[],[],[],[]
Elastic Search 200 - CG,[],[],[],[],[],[]
Elastic Search 2566,[],[],[],[],[],[]
Elastic Search 2566 - CG,[],[],[],[],[],[]
Elastic Search 2608,[],[],[],[],[],[]
Elastic Search 2608 - CG,[],[],[],[],[],[]
Elastic Search 2991,[],[],[],[],[],[]
Elastic Search 2991 - CG,[],[],[],[],[],[]
Elastic Search 3242,['1065'],[4],"[['core', 'not involved', 'not involved', 'core']]",[6],[0],[5]
Elastic Search 3242 - CG,['1065'],[4],"[['core', 'not involved', 'not involved', 'core']]",[6],[0],[5]
Elastic Search 3267,[],[],[],[],[],[]
Elastic Search 3267 - CG,[],[],[],[],[],[]
