,issue_id,bic_revision_hash,bic_committer_date,non_bic_revision_hash,non_bic_committer_date,non_bic_linked_issues,non_bic_related_reviews
0,NOVA 1466390,501ff418df4c08e52a697772200aa08dd67a4a43,2013-06-11 08:50:50,fa6c2d4def22f0ddd296572d9ce5b3b6f7267e2f,,[1180178],"[30201, 32717]"
1,NOVA 1438331,13e2bd02a5b50973f95eb3d8fc0af4e0702e3381,2014-07-27 21:45:24,5876827d92bad3c408651184d9fea835639d8db8,,['compute-manager-objects-juno'],[113741]
2,NOVA 1402728,2bcda65d512f38902514e986883d9b36f4d85c33,2014-08-28 06:36:12,990561227d1cdadc1ae91fdcc74286a47f0ddf2c,,['pci-passthrough-sriov'],[120675]
3,NOVA 1307791,3dff43356619b4a935a5f395b066e96e8856bb4f,2012-10-30 20:51:40,27a5753dd3766b5535e0248d48c9bb555379dd12,,[884842],[14806]
4,NOVA 1481078,31f208423405ed50bb5b32977071f917ac3ce26d,2015-04-07 05:25:09,05120edf92627ff7ad20a928f8b94568031556c9,,['nova-no-downward-sql-migration'],[175551]
5,NOVA 1370177,33e3d4c6b9e0b11500fe47d861110be1c1981572,2014-01-30 14:28:05,6982d8534d78d9732fc8d6e05c8f3bb432d62264,,['aggregate-api-policy'],[65042]
6,NOVA 1443970,447641972539f1e13923c6ee5d64169f4229b856,2014-06-19 16:20:49,995ee643f3291157151d195552232d09d471d8c2,,[],[94811]
7,NOVA 1294939,542958fac7445a14deaae146b0d4047aa90a2fab,2014-02-12 14:34:42,8218a86dedd50301252598667171d17d874bb36d,,['compute-manager-objects'],[70215]
8,NOVA 1336127,2c62e344e26ccba08d5c613a7c4a40a0f076901e,2013-10-22 21:27:57,90a37c069ede9d9b23ff6faef4ea6e48bbd7ebce,,['assertequal'],[44239]
9,NOVA 1419002,2ef03c6a0a8c5705249c3b5be755e0a13ca39332,2011-04-19 02:02:54,1e4024b72218a07d1e535878337547cf16406dd8,,[],[]
10,NOVA 1441000,7dd6a4a19311136c02d89cd2afd97236b0f4cc27,2015-02-18 13:46:12,f90885bacba3728dc9a35e99eecef37a37b881e2,,[],[132231]
11,NOVA 1475911,e310985b77d916b1ad7f9ec60a9a0b46364046ac,2014-08-29 18:52:22,b826fba1cd61f7ddbee091c220eaef7ea5317c1b,,[],[113772]
12,NOVA 1402535,933365a583daa5b9eabcf2397c3e7b803e7af74c,2013-02-18 14:51:46,2d0578c539d000981e50ba0c143385974d10e2e2,,[1148734],[24363]
13,NOVA 1370590,7326bac8f9564bd96bbf69afe43cf3a876468c9c,2014-09-09 23:48:51,e65a43837e9ccad8ca34da4d29824df591c685fe,,[],[119446]
14,NOVA 1300788,e517e5668ab20214432e06ef87f7b16776edaf7c,2013-06-13 03:07:22,ba1ed8958b6bde0d8b9f5862a83ac7e1a33e8313,,[],[29062]
15,NOVA 1367363,0fcbb7b286888d642d329db1299eb9f3708d1f50,2013-12-30 06:01:47,6ed6be8435284daf39ef1b8323e213c7885852c6,,['icehouse-objects'],[63178]
16,NOVA 1392798,a9d0313cc7d36a9e5e60aa7710b9ce8ec2f37f19,2013-02-28 18:59:56,1b32ed31425a0332ab16f5b5f6c08a20eafe7963,,[],[19457]
17,NOVA 1403544,6956057ac490c788cb94fbfd0af7fe6e91a7ca96,2010-12-01 17:24:39,27d89c2d425aefcd32549b08e3cff8b132d3e75b,,[],[]
18,NOVA 1381468,30871e8702737edbbfbcbbb5f21858873b37685c,2014-09-30 14:41:02,583d12f4fae620719b893cb7f9fbfc461ec8a124,,[],[123682]
19,NOVA 1475356,0eb7e35fbfe5de5f9f00ff1a0cce1d6a61f3a902,2013-12-16 15:15:26,c1dae06f1e366e7681fbffc776153b3ed3af2618,,[],[64289]
