Bug_ID	Project	Notes	Duplicate_Bug_IDs	BIC	BFC	BIC_CodeReview	BIC_IntroducingIssue	BIC_Files	BIC_Files_ManualMatch	BIC_BUG_ML	BIC_II_ML	BIC_OtherIssues	CGC	CG_CodeReview	CG_IntroducingIssue	CG_OtherIssues	CG_II_ML
Elastic Search 1134	elasticsearch		[]	61ad8b614a94dabf8a263cf1edd35faa50ede36d	cbb1c35f94a36e8871301fce435d516db3cd4256	[]	[1104]	[ modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java ]	{}	[]	[]	[]	10660d390d760cde78fb115107c04e1cf104a4da	[]	[]	[]	[]
Elastic Search 1154	elasticsearch		[]	b3337c312765e51cec7bde5883bbc0a08f56fb65	31ea01bbc68f64cd7787b97479cb5deba1b529b9	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java, modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java, modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java ]	{ "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java", "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java": null, "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java": null }	[]	[]	[]	7a38e384c9ff783f17e9db92a730bdf654dbda6b	[]	[]	[]	[]
Elastic Search 1162	elasticsearch		[]	d4547c629f53ad76ea463dc0acb1f26f0a2b784b	b70694ce631d7b55be6edd7b9049237456a6e4b4	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java ]	{}	[]	[]	[]	e5b041c8efd408fdc71fd2f2c84439e5a4985244	[]	[]	[]	[]
Elastic Search 12193	elasticsearch		[]	15a62448343fd24f8e63f43b1e4b16f50005e4a5	2ea45fd753b89c12431dab08c4827835c616cc1b	[]	[]	[ core/pom.xml ]	{}	[]	[]	[]	e88535a67e9594f3135465b5021ba9b502fef950	[]	[]	[]	[]
Elastic Search 1380	elasticsearch		[]	adc3dc0e994ababa7917c81a61cc93f4690060d4	bd87f8de3ac84eb408d5ada0976664545c9228a0	[]	[873]	[ modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java ]	{}	[]	[]	[]	16a046f686c26309ee0041df8987a4d2ffedd956	[]	[]	[]	[]
Elastic Search 14782	elasticsearch	10217 is a issue related to the BIC	[]	904cbf53409ae62bb67cd07c31ef88121cff9361	9e4a0cba0b6a9a936b6e2ff1579f864b84b8bc26	[13788, 12943, 12694, 12527]	[12527]	[ core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java ]	{}	[]	[]	[10217]	a75adaaaaaa632c036464da8fa24770796f77852	[]	[]	[]	[]
Elastic Search 15858	elasticsearch		[]	0cde90fcb10c93c56d5f7d6c9228002ffdff1fec	12df1e7a6f096e22009f057359cb49e943af4943	[]	[1420]	[ core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java ]	{ "core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java": "modules/elasticsearch/src/main/java/org/elasticsearch/common/lucene/search/Queries.java" }	[]	[]	[]	4088236cf75b793c7a2a80f5f7be5b326b607378	[1258]	[1368]	[]	[]
Elastic Search 16246	elasticsearch		[]	57d697125225d694376287eda7e644108ccbebda	15567506b28cbd4d16cea8cc5d57b4d1cdfb59d8	[15283, 15564, 16049]	[15036]	[ core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java ]	{ "core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java": "plugins/ingest/src/main/java/org/elasticsearch/ingest/IngestDocument.java" }	[]	[]	[]	7caee2fa4d918d4c6978bcf986a158d03bf7db2a	[14899, 15336]	[]	[]	[]
Elastic Search 1626	elasticsearch		[]	4180a7f73ab4d32f001a1d0bdc17aebd3073be76	a1a30226caaef4667cb7d85a4702ecf6a6bb0703	[]	[]	[ src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java,  src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java, Src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java ]	{ "src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java", "src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java", "src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java" }	[]	[]	[]	1f30681a84fcafe9cf6e6b8a2801ea1791b9edc0	[]	[]	[]	[]
Elastic Search 16790	elasticsearch		[]	1e209e3802a693414a18bfddbb917044c50e5a6a	4c6cf7ee88bc75a161e3752014071d4f9ab8d8d5	[12801]	[12479]	[ distribution/src/main/resources/bin/elasticsearch-plugin, distribution/src/main/resources/bin/elasticsearch-plugin.bat ]	{ "distribution/src/main/resources/bin/elasticsearch-plugin": "distribution/src/main/resources/bin/plugin", "distribution/src/main/resources/bin/elasticsearch-plugin.bat": "distribution/src/main/resources/bin/plugin.bat" }	[]	[]	[]	093791e82dfe7c3e16ddb1f199fede2cf86b6797	[13704]	[]	[]	[]
