A1	A2	B1	B2	Variable A	Variable B	Group	Group (base)	Method	Combination	ID A	ID B
B	1.0	C	3.0	B1 - Build tools	C3 - # Files changed	3.1 (pd)	3	boxplots	BC	B1	C3
B	1.0	C	4.0	B1 - Build tools	C4 - Commit file bugginess	32	32	boxplots	BC	B1	C4
B	1.0	C	5.0	B1 - Build tools	C5 - Commit total line bugginess	32	32	boxplots	BC	B1	C5
B	1.0	C	6.0	B1 - Build tools	C6 - Commit file line bugginess	32	32	boxplots	BC	B1	C6
B	1.0	F	4.0	B1 - Build tools	F4 - # Bug discussants	32	32	boxplots	BF	B1	F4
B	1.0	F	9.0	B1 - Build tools	F9 - # Bug comments [sum]	32	32	boxplots	BF	B1	F9
B	1.0	I	5.0	B1 - Build tools	I5 - # Introducing issue discussants [sum]	3.3 (nc, pd)	3	boxplots	BI	B1	I5
B	1.0	I	7.0	B1 - Build tools	I7 - # Introducing issue commits [sum]	3.3 (pd)	3	boxplots	BI	B1	I7
B	1.0	I	10.0	B1 - Build tools	I10 - # Introducing issue comments [sum]	3.1 (pd)	3	boxplots	BI	B1	I10
B	1.0	ML	2.0	B1 - Build tools	ML2 - # ML bug discussants [sum]	E	E	boxplots	BML	B1	ML2
B	1.0	ML	5.0	B1 - Build tools	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	BML	B1	ML5
B	1.0	O	3.0	B1 - Build tools	O3 - # Discussants in other media [sum]	E	E	boxplots	BO	B1	O3
B	1.0	R	3.0	B1 - Build tools	R3 - # Reviewers [sum]	3.2 (pd)	3	boxplots	BR	B1	R3
B	1.0	R	5.0	B1 - Build tools	R5 - # Review comments [sum]	3.1 (pd)	3	boxplots	BR	B1	R5
B	1.0	R	6.0	B1 - Build tools	R6 - # Rounds of code review [sum]	3.1 (pd)	3	boxplots	BR	B1	R6
B	2.0	C	3.0	B2 - Dependency resolution	C3 - # Files changed	1	1	boxplots	BC	B2	C3
B	2.0	C	4.0	B2 - Dependency resolution	C4 - Commit file bugginess	31	31	boxplots	BC	B2	C4
B	2.0	C	5.0	B2 - Dependency resolution	C5 - Commit total line bugginess	31	31	boxplots	BC	B2	C5
B	2.0	C	6.0	B2 - Dependency resolution	C6 - Commit file line bugginess	31	31	boxplots	BC	B2	C6
B	2.0	F	4.0	B2 - Dependency resolution	F4 - # Bug discussants	32	32	boxplots	BF	B2	F4
B	2.0	F	9.0	B2 - Dependency resolution	F9 - # Bug comments [sum]	32	32	boxplots	BF	B2	F9
B	2.0	I	5.0	B2 - Dependency resolution	I5 - # Introducing issue discussants [sum]	32	32	boxplots	BI	B2	I5
B	2.0	I	7.0	B2 - Dependency resolution	I7 - # Introducing issue commits [sum]	32	32	boxplots	BI	B2	I7
B	2.0	I	10.0	B2 - Dependency resolution	I10 - # Introducing issue comments [sum]	32	32	boxplots	BI	B2	I10
B	2.0	ML	2.0	B2 - Dependency resolution	ML2 - # ML bug discussants [sum]	E	E	boxplots	BML	B2	ML2
B	2.0	ML	5.0	B2 - Dependency resolution	ML5 - # ML introducing change discussants [sum]	E	E	boxplots	BML	B2	ML5
B	2.0	O	3.0	B2 - Dependency resolution	O3 - # Discussants in other media [sum]	E	E	boxplots	BO	B2	O3
B	2.0	R	3.0	B2 - Dependency resolution	R3 - # Reviewers [sum]	E	E	boxplots	BR	B2	R3
B	2.0	R	5.0	B2 - Dependency resolution	R5 - # Review comments [sum]	E	E	boxplots	BR	B2	R5
B	2.0	R	6.0	B2 - Dependency resolution	R6 - # Rounds of code review [sum]	E	E	boxplots	BR	B2	R6
B	3.0	C	3.0	B3 - Build practices	C3 - # Files changed	3.3	3	boxplots	BC	B3	C3
B	3.0	C	4.0	B3 - Build practices	C4 - Commit file bugginess	32	32	boxplots	BC	B3	C4
B	3.0	C	5.0	B3 - Build practices	C5 - Commit total line bugginess	32	32	boxplots	BC	B3	C5
B	3.0	C	6.0	B3 - Build practices	C6 - Commit file line bugginess	32	32	boxplots	BC	B3	C6
