issue_id	bic_revision_hash
NOVA 1466390	501ff418df4c08e52a697772200aa08dd67a4a43
NOVA 1438331	13e2bd02a5b50973f95eb3d8fc0af4e0702e3381
NOVA 1402728	2bcda65d512f38902514e986883d9b36f4d85c33
NOVA 1307791	3dff43356619b4a935a5f395b066e96e8856bb4f
NOVA 1481078	31f208423405ed50bb5b32977071f917ac3ce26d
NOVA 1370177	33e3d4c6b9e0b11500fe47d861110be1c1981572
NOVA 1443970	447641972539f1e13923c6ee5d64169f4229b856
NOVA 1294939	542958fac7445a14deaae146b0d4047aa90a2fab
NOVA 1336127	2c62e344e26ccba08d5c613a7c4a40a0f076901e
NOVA 1419002	2ef03c6a0a8c5705249c3b5be755e0a13ca39332
NOVA 1441000	7dd6a4a19311136c02d89cd2afd97236b0f4cc27
NOVA 1475911	e310985b77d916b1ad7f9ec60a9a0b46364046ac
NOVA 1402535	933365a583daa5b9eabcf2397c3e7b803e7af74c
NOVA 1370590	7326bac8f9564bd96bbf69afe43cf3a876468c9c
NOVA 1300788	e517e5668ab20214432e06ef87f7b16776edaf7c
NOVA 1367363	0fcbb7b286888d642d329db1299eb9f3708d1f50
NOVA 1392798	a9d0313cc7d36a9e5e60aa7710b9ce8ec2f37f19
NOVA 1403544	6956057ac490c788cb94fbfd0af7fe6e91a7ca96
NOVA 1381468	30871e8702737edbbfbcbbb5f21858873b37685c
NOVA 1475356	0eb7e35fbfe5de5f9f00ff1a0cce1d6a61f3a902
NOVA 1434855	abc656d3d549c555cf7c94d0ae0e5d50768bd366
NOVA 1443697	f3f1a53fe2bfe23229867c4a90f6456ac204181f
NOVA 1467451	0e02db2980dc4e76ef7949ba4ec131af9fc4a44d
NOVA 1453274	60c90f73261efb8c73ecc02152307c81265cab13
NOVA 1371677	5fa74bc0b2ab6fe5149a9b684b4beadb67877622
NOVA 1343080	e7aa4022374fb35d2131a7c633212c5d6302db3d
NOVA 1375379	e71e8c2a8902acb59dc95e4ea3521e09ae50aa7d
NOVA 1314677	88ab9369e3ddfd8b8684bf280330ff8d37a74b2b
NOVA 1486541	f5071bd1ac00ed68102d37c8025d36df6777cd9e
NOVA 1424647	d2cbb9adeaddefc00db430644e0d51b11ffb7600
NOVA 1447249	1682c5b585835e151845c7f64a6c29bc21c29edc
NOVA 1437855	1b2c121f133b15d0fe3f6ebdb131ac9998bc4b83
NOVA 1505471	64e167eb62bd3483b2947ec8de218453c116bd93
