ID	Name	Scale	Collection	Aggregation	Note	Description	Mapping	Project exclusive	Incomparable	Project dependent
F1	Bug ID	Nominal	automated			Identifier of the bug within the issue tracking system.			TRUE	
F2	Bug severity	Nominal	automated	max	Project exclusivity (only available in NOVA)	Severity of the bug, e.g., major or minor		TRUE	TRUE	
F3	Bug labels	List of nominals	automated			Additional labels of the bug, e.g., components or similar. 			TRUE	TRUE
F4	# Bug discussants	Integer	automated			Number of people involved in the reporting and discussion of the bug			TRUE	
F4.1	Bug discussant roles	List of nominals	automated						TRUE	
F4.2	Bug reporter role	Nominal	automated	max					TRUE	
F4.3	Bug assignee role	Nominal	automated	max					TRUE	
F4.4	Bug creator role	Nominal	automated	max					TRUE	
F5	Aspects of the Bug discussion	List of nominals	manual			Aspects that were discussed, e.g., how to fix the bug or related features. Stored as a list as discussion may have multiple aspects. (description of the bugs, title and comments)			TRUE	
F6	Type of Bug	Nominal	manual	main		Type of bug that was introduced following the taxonomy proposed by Catolino et al. [3] as one of the following: configuration issue, network issue, database-related issue, GUI-related issue, performance issue, permission/deprecation issue, security issue, program anomaly issue, and test code-related issue.			TRUE	
F7	Bug has duplicate	Boolean	manual	any		Whether the bug has any duplicate within the project.			TRUE	
F8	Bug reopened	Boolean	automated	any		Yes, in case the bug was reopened at some point on time.. No, in the other case.			TRUE	
F9	# Bug comments	Integer	automated	sum					TRUE	
										
I1	Introducing issues IDs	List of nominals	automated			Identifier of the issue as part of which the development happened that introduced the bug. All related variables are lists, as there might have been parallel development on multiple issues.				
I2	Introducing issue types	Nominal	manual	main		Type of the introducing issue, e.g., bug or improvement.				
I3	Introducing issue severity	Nominal	automated	max	Project exclusivity (only available in NOVA)	Severity of the introducing issue		TRUE		
I4	Introducing issue labels	List of nominals	automated			Additional labels of the introducing issue.				TRUE
I5	# Introducing issue discussants	Integer	automated	sum		Number of people involved in the reporting and discussion of [per] issue				
I5.1	Introducing issue discussant roles	List of nominals	automated			Whether the issue discussants were core developers, peripheral developers or not involved in the project before.				
I5.2	Introducing issue reporter role	Nominal	automated	max		Whether the highest-ranking issue reporter was a core developer, peripheral developer or not involved in the project before.				
I5.3	Introducing issue assignee role	Nominal	automated	max		Whether the highest-ranking issue assignee was a core developer, peripheral developer or not involved in the project before				
I5.4	Introducing issue creator role	Nominal	automated	max		Whether the highest-ranking issue creator was a core developer, peripheral developer or not involved in the project before.				
I6	Aspects of introducing issue discussion	List of nominals	manual			Aspects that were discussed, e.g., discussion of solution variants. Stored as a list as a discussion may have multiple aspects				
I7	# Introducing issue commits	Integer	automated	sum		Number of commits in which the introducing issue was addressed.				
I8	Introducing issue has wiki/specification	Boolean	manual	any	Project exclusivity (only available in NOVA)	if the Introducing issue has a wiki or a specification. Which means that the introducing issue has a detailed description of the issue		TRUE		
I9	Introducing issue reopened	Boolean	automated	any						
I10	# Introducing issue comments	Integer	automated	sum						
										
ML1	ML bug discussion IDs	List of nominals	manual		Project exclusivity (only available in NOVA)	Identifier of emails related to the discussion of the bug (i.e. the bug fixing commit and the bug issue) on the Mailing List (ML).		TRUE		
ML2	# ML bug discussants	Integer	automated	sum	Project exclusivity (only available in NOVA)	Number of people involved in the discussion of the bug on the ML.		TRUE		
ML2.1	ML bug discussant roles	List of nominals	automated		Project exclusivity (only available in NOVA)	Whether the discussants in the ML of the bug were core developers, peripheral developers or not involved in the project before.		TRUE		
ML3	Aspects of ML bug discussion	List of nominals	manual		Project exclusivity (only available in NOVA)	Aspects that were discussed in the ML of the bug.		TRUE		
ML4	ML introducing change discussion IDs	List of nominals	manual		Project exclusivity (only available in NOVA)	Identifier of emails related to the discussion of the introducing change (i.e. the introducing commit or the introducing issue).		TRUE		
ML5	# ML introducing change discussants	Integer	automated	sum	Project exclusivity (only available in NOVA)	Number of people involved in the discussion of the introducing change on the ML.		TRUE		
ML5.1	ML introducing change discussant roles	List of nominals	automated		Project exclusivity (only available in NOVA)	Whether the discussants in the ML of the introducing change were core developers, peripheral developers or not involved in the project before.		TRUE		
ML6	Aspects of ML introducing change discussion	List of nominals	manual		Project exclusivity (only available in NOVA)	Aspects that were discussed in the ML of the introducing change.		TRUE		
										
O1	Identifier of related information in other media	List of nominals	manual		Project exclusivity (only available in NOVA)	Identifier of all discussions about the bug that we could locate in other media of the project.		TRUE		
O2	Type of other media in which bug was discussed	List of nominals	manual		Project exclusivity (only available in NOVA)	Types of other media that were used, e.g., developer blogs, forums, and chats		TRUE		
O3	# Discussants in other media	Integer	automated	sum	Project exclusivity (only available in NOVA)	Number of discussants involved in other media.		TRUE		
O3.1	Discussant roles in other media	List of nominals	automated		Project exclusivity (only available in NOVA)	Whether the discussants involved in other media were core developers, peripheral developers or not involved in the project before.		TRUE		
O4	Aspects of discussions in other media	List of nominals	manual		Project exclusivity (only available in NOVA)	Aspects that were discussed in other media		TRUE		
O5	Buggy files arepresent in the BIC?	Nominal	manual			Are the buggy files, indicated by Gema Study, present in in BIC? . Yes, all; Yes, partially; NO				
										
CI1	CI build ID	Nominal	automated		Project exclusivity (only available in NOVA)	Identifier of a build in the continuous integration (CI) system.		TRUE		
CI2	CI build status	Nominal	automated		Project exclusivity (only available in NOVA)	Status of the CI build.		TRUE		
