F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C7 - Committer type,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess
Elastic Search 1134,61ad8b614a94dabf8a263cf1edd35faa50ede36d,1,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java,,modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java,1,1,core,1.0,1.0,0.01092896174863388
Elastic Search 1134 - CG,10660d390d760cde78fb115107c04e1cf104a4da,1,0/0,0,,,3,3,core,,,
Elastic Search 1154,b3337c312765e51cec7bde5883bbc0a08f56fb65,1350,1/3,modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java,"modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java",182199,0,core,0.0007407407407407407,0.000406149320248739,1.0
Elastic Search 1154 - CG,7a38e384c9ff783f17e9db92a730bdf654dbda6b,4,0/0,0,,,37,12,core,,,
Elastic Search 1162,d4547c629f53ad76ea463dc0acb1f26f0a2b784b,36,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java,,modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java,769,193,core,0.027777777777777776,0.08731808731808732,0.9882352941176471
Elastic Search 1162 - CG,e5b041c8efd408fdc71fd2f2c84439e5a4985244,12,0/0,0,,,96,469,core,,,
Elastic Search 12193,15a62448343fd24f8e63f43b1e4b16f50005e4a5,8676,1/1,core/pom.xml,,core/pom.xml,593192,654672,core,0.0001152604887044721,0.0009175679400960361,0.9991273996509599
Elastic Search 12193 - CG,e88535a67e9594f3135465b5021ba9b502fef950,1,0/0,0,,,1,1,core,,,
Elastic Search 1380,adc3dc0e994ababa7917c81a61cc93f4690060d4,2,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java,,modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java,73,7,core,0.5,0.2875,0.10043668122270742
Elastic Search 1380 - CG,16a046f686c26309ee0041df8987a4d2ffedd956,2,0/0,0,,,20,20,core,,,
Elastic Search 14782,904cbf53409ae62bb67cd07c31ef88121cff9361,148,1/1,core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java,,core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java,838,1158,core,0.006756756756756757,0.006012024048096192,0.023952095808383235
Elastic Search 14782 - CG,a75adaaaaaa632c036464da8fa24770796f77852,1,0/0,0,,,1,1,core,,,
Elastic Search 15858,0cde90fcb10c93c56d5f7d6c9228002ffdff1fec,7,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/common/lucene/search/Queries.java,,core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java,108,0,core,0.14285714285714285,0.5648148148148148,0.324468085106383
Elastic Search 15858 - CG,4088236cf75b793c7a2a80f5f7be5b326b607378,1,0/0,0,,,7,1,core,,,
Elastic Search 16246,57d697125225d694376287eda7e644108ccbebda,19,1/1,plugins/ingest/src/main/java/org/elasticsearch/ingest/IngestDocument.java,,core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java,411,259,core,0.05263157894736842,0.29402985074626864,0.4078674948240166
