F1 - Bug ID,F2 - Bug severity [max],F3 - Bug labels,F4 - # Bug discussants,F4.1 - Bug discussant roles,F4.2 - Bug reporter role [max],F4.3 - Bug assignee role [max],F4.4 - Bug creator role [max],F8 - Bug reopened [any],F9 - # Bug comments [sum],F10 - # Bug comments after closed (first) [sum],F11 - # Bug comments after closed (last) [sum]
Elastic Search 1134,,"['v0.17.1', 'v0.18.0', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 1154,,"['v0.18.0', 'v0.17.2', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 1162,,"['v0.18.0', 'v0.17.2', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 12193,,"['v2.0.0-beta1', 'Team:Delivery', ':Delivery/Packaging', '>bug']",1,['not involved'],not involved,not involved,not involved,False,1,0,0
Elastic Search 1380,,"['v0.18.0', '>bug']",1,['not involved'],not involved,,not involved,False,0,0,0
Elastic Search 14782,,"['good first issue', ':Search/Search', '>bug']",2,"['not involved', 'not involved']",not involved,,not involved,False,1,0,0
Elastic Search 15858,,"['discuss', ':Search/Search', '>bug']",4,"['core', 'not involved', 'not involved', 'not involved']",not involved,,not involved,False,8,0,0
Elastic Search 16246,,"[':Data Management/Ingest Node', '>bug']",3,"['not involved', 'not involved', 'core']",not involved,,not involved,False,4,1,1
Elastic Search 1626,,"['v0.19.0.RC1', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 16790,,"['Team:Delivery', ':Delivery/Packaging', '>bug']",2,"['not involved', 'core']",not involved,core,not involved,False,1,0,0
Elastic Search 1725,,"['v0.19.0', '>bug']",2,"['core', 'not involved']",not involved,,not involved,False,1,0,0
Elastic Search 1814,,"['v0.20.0.RC1', 'v0.19.2', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 1948,,"['v0.20.0.RC1', 'v0.19.4', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 1960,,"['v0.20.0.RC1', 'v0.19.4', '>bug']",1,['core'],core,,core,False,0,0,0
Elastic Search 200,,"['v0.09.0', '>bug']",1,['core'],core,,core,False,1,0,0
