F1 - Bug ID,I1 - Introducing issues IDs,I3 - Introducing issue severity [max],I4 - Introducing issue labels,I5.2 - Introducing issue reporter role [max],I5.3 - Introducing issue assignee role [max],I5.4 - Introducing issue creator role [max],I7 - # Introducing issue commits [sum],I9 - Introducing issue reopened [any],I5 - # Introducing issue discussants [sum],I5.1 - Introducing issue discussant roles,I10 - # Introducing issue comments [sum],I11 - # Introducing issue comments after closed (first) [sum],I12 - # Introducing issue comments after closed (last) [sum]
Elastic Search 1134,['1104'],,"['v0.17.0', '>enhancement']",core,,core,1.0,False,1.0,['core'],0.0,0.0,0.0
Elastic Search 1134 - CG,,,,,,,,,,,,,
Elastic Search 1154,,,,,,,,,,,,,
Elastic Search 1154 - CG,,,,,,,,,,,,,
Elastic Search 1162,,,,,,,,,,,,,
Elastic Search 1162 - CG,,,,,,,,,,,,,
Elastic Search 12193,,,,,,,,,,,,,
Elastic Search 12193 - CG,,,,,,,,,,,,,
Elastic Search 1380,['873'],,"['v0.16.0', '>bug']",not involved,,not involved,1.0,True,2.0,"['not involved', 'core']",7.0,2.0,0.0
Elastic Search 1380 - CG,,,,,,,,,,,,,
Elastic Search 14782,['12527'],,[':Search/Search'],not involved,,not involved,1.0,False,2.0,"['not involved', 'core']",14.0,0.0,0.0
Elastic Search 14782 - CG,,,,,,,,,,,,,
Elastic Search 15858,['1420'],,"['>enhancement', 'v0.18.0']",not involved,,not involved,1.0,False,3.0,"['core', 'not involved', 'not involved']",6.0,6.0,6.0
Elastic Search 15858 - CG,['1368'],,"['v0.17.8', '>enhancement', 'v0.18.0']",core,,core,2.0,False,1.0,['core'],0.0,0.0,0.0
Elastic Search 16246,['15036'],,"[':Data Management/Ingest Node', '>enhancement']",core,core,core,1.0,False,1.0,['core'],1.0,0.0,0.0
Elastic Search 16246 - CG,,,,,,,,,,,,,
Elastic Search 1626,,,,,,,,,,,,,
Elastic Search 1626 - CG,,,,,,,,,,,,,
Elastic Search 16790,['12479'],,"[':Core/Infra/Plugins', '>bug']",not involved,not involved,not involved,3.0,False,3.0,"['not involved', 'not involved', 'core']",10.0,0.0,0.0
Elastic Search 16790 - CG,,,,,,,,,,,,,
Elastic Search 1725,['181'],,"['v0.08.0', '>enhancement']",core,,core,1.0,False,2.0,"['core', 'not involved']",3.0,0.0,0.0
Elastic Search 1725 - CG,,,,,,,,,,,,,
Elastic Search 1814,,,,,,,,,,,,,
