F1 - Bug ID,XR1 - Reviews,R3 - # Reviewers [sum],R4 - Reviewer types,R5 - # Review comments [sum],R6 - # Rounds of code review [sum],R11 - # Review comments after closed (first) [sum],R12 - # Review comments after closed (last) [sum],R1 - Code review IDs
Elastic Search 1134,[],,,,,,,
Elastic Search 1134 - CG,[],,,,,,,
Elastic Search 1154,[],,,,,,,
Elastic Search 1154 - CG,[],,,,,,,
Elastic Search 1162,[],,,,,,,
Elastic Search 1162 - CG,[],,,,,,,
Elastic Search 12193,[],,,,,,,
Elastic Search 12193 - CG,[],,,,,,,
Elastic Search 1380,[],,,,,,,
Elastic Search 1380 - CG,[],,,,,,,
Elastic Search 14782,"['13788', '12943', '12694', '12527']",5.0,"{'core', 'not involved'}",25.0,7.0,25.0,25.0,
Elastic Search 14782 - CG,[],,,,,,,
Elastic Search 15858,[],,,,,,,
Elastic Search 15858 - CG,['1258'],4.0,"{'core', 'not involved'}",11.0,0.0,8.0,8.0,
Elastic Search 16246,"['15564', '15283', '16049']",7.0,"{'core', 'not involved'}",34.0,8.0,1.0,1.0,
Elastic Search 16246 - CG,"['14899', '15336']",5.0,"{'core', 'not involved'}",18.0,5.0,1.0,1.0,
Elastic Search 1626,[],,,,,,,
Elastic Search 1626 - CG,[],,,,,,,
Elastic Search 16790,['12801'],5.0,"{'core', 'not involved'}",11.0,0.0,0.0,0.0,
Elastic Search 16790 - CG,['13704'],1.0,{'core'},1.0,0.0,0.0,0.0,
Elastic Search 1725,[],,,,,,,
Elastic Search 1725 - CG,[],,,,,,,
Elastic Search 1814,[],,,,,,,
Elastic Search 1814 - CG,[],,,,,,,
Elastic Search 1948,[],,,,,,,
Elastic Search 1948 - CG,['639'],0.0,set(),0.0,0.0,0.0,0.0,
Elastic Search 1960,[],,,,,,,
Elastic Search 1960 - CG,[],,,,,,,
Elastic Search 200,[],,,,,,,
Elastic Search 200 - CG,[],,,,,,,
Elastic Search 2566,[],,,,,,,
Elastic Search 2566 - CG,[],,,,,,,
Elastic Search 2608,[],,,,,,,
Elastic Search 2608 - CG,[],,,,,,,
Elastic Search 2991,[],,,,,,,
Elastic Search 2991 - CG,[],,,,,,,
Elastic Search 3242,['1065'],4.0,"{'core', 'not involved'}",6.0,0.0,5.0,2.0,
Elastic Search 3242 - CG,['1065'],4.0,"{'core', 'not involved'}",6.0,0.0,5.0,2.0,
Elastic Search 3267,[],,,,,,,
Elastic Search 3267 - CG,[],,,,,,,
Elastic Search 3560,[],,,,,,,
Elastic Search 3560 - CG,[],,,,,,,
Elastic Search 4581,[],,,,,,,
Elastic Search 4581 - CG,[],,,,,,,
Elastic Search 4814,[],,,,,,,
Elastic Search 4814 - CG,[],,,,,,,
Elastic Search 5021,[],,,,,,,
Elastic Search 5021 - CG,[],,,,,,,
Elastic Search 5048,[],,,,,,,
Elastic Search 5048 - CG,[],,,,,,,
Elastic Search 5165,[],,,,,,,
