,issue_id,bic_revision_hash,bic_committer_date,non_bic_revision_hash,non_bic_committer_date,parents,non_bic_linked_issues,non_bic_related_reviews
0,Elastic Search 1134,61ad8b614a94dabf8a263cf1edd35faa50ede36d,2011-07-08 05:36:47,10660d390d760cde78fb115107c04e1cf104a4da,2011-07-18 19:15:22,1,[],[]
1,Elastic Search 1154,b3337c3,2010-02-08 13:30:06,7a38e384c9ff783f17e9db92a730bdf654dbda6b,2010-03-04 23:48:56,1,[],[]
2,Elastic Search 1162,d4547c629,2010-08-08 06:17:09,e5b041c8efd408fdc71fd2f2c84439e5a4985244,2010-08-26 21:41:55,1,[],[]
3,Elastic Search 12193,15a62448,2015-06-05 11:12:03,e88535a67e9594f3135465b5021ba9b502fef950,2015-06-13 09:34:56,1,[],[]
4,Elastic Search 1380,adc3dc0,2011-04-21 12:55:21,16a046f686c26309ee0041df8987a4d2ffedd956,2011-04-07 11:30:12,1,[],[]
5,Elastic Search 14782,904cbf534,2015-08-05 13:45:43,a75adaaaaaa632c036464da8fa24770796f77852,2015-08-17 13:52:36,1,[],[]
6,Elastic Search 15858,0cde90fcb10c9,2011-10-25 23:58:12,4088236cf75b793c7a2a80f5f7be5b326b607378,2011-09-27 10:47:59,1,['1368'],['1258']
7,Elastic Search 16246,57d6971,2015-12-09 17:36:44,7caee2fa4d918d4c6978bcf986a158d03bf7db2a,2015-11-30 13:59:23,1,[],"['14899', '15336']"
8,Elastic Search 1626,4180a7f7,2011-09-08 08:10:53,1f30681a84fcafe9cf6e6b8a2801ea1791b9edc0,2011-08-29 14:49:46,1,[],[]
9,Elastic Search 16790,1e209e3802,2015-09-15 15:04:42,093791e82dfe7c3e16ddb1f199fede2cf86b6797,2015-09-22 04:57:51,1,[],['13704']
10,Elastic Search 1725,bd6b89f7cab39a,2010-05-19 17:41:29,3d310406b71973e82f94f60b8dab0c90729a579a,2010-05-13 18:07:30,1,[],[]
11,Elastic Search 1814,14237317fce,2010-08-15 14:57:14,b31b0e979c616251ed75b18a87193bd76b75eff3,2010-09-09 12:47:55,1,['362'],[]
12,Elastic Search 1948,3b967040da2,2011-02-26 23:06:50,8587f1611912c6633b72909939e91d226575dd90,2011-02-01 20:16:09,1,[],['639']
13,Elastic Search 1960,ebd6316,2010-11-26 13:45:18,103221e58a85dc5d133cc70af898102735c4375f,2010-11-29 00:55:23,1,[],[]
14,Elastic Search 200,cb0d7d4,2010-04-24 20:48:45,2ea7423f3ac68578a81d92f50b6484cf1db2203d,2010-03-31 21:20:45,1,[],[]
15,Elastic Search 2566,2442e1fb,2010-09-12 13:39:07,aa68667d636d61b0cc67810e1e2489d1246e9af6,2010-09-21 15:32:34,1,[],[]
16,Elastic Search 2608,167d358,2010-12-09 05:25:05,8285ffe22175bf4592e79bb881a6451741ccdac8,2010-11-28 00:23:38,1,[],[]
17,Elastic Search 2991,7397007,2013-01-22 15:16:30,bc20f068c9c62b69260f3b24adaaf9fb3ff3d371,2013-01-30 10:49:20,1,['2604'],[]
18,Elastic Search 3242,05e0b4d4e,2012-09-23 19:24:13,4f5e62e9882b36271280ad4e47e61aba2d7669f1,2012-09-21 12:03:21,1,[],['1065']
19,Elastic Search 3267,9bf686e,2011-06-27 19:23:49,567cf6b5c3bbc4486b0472c8abe588ab6215637c,2011-07-11 18:49:33,1,[],[]
20,Elastic Search 3560,4930b93,2013-07-22 22:08:45,a235a5594338789a448742fce19549206dd5b30c,2013-07-30 15:07:21,1,['3410'],[]
21,Elastic Search 4581,f444ed4,2012-11-12 12:44:33,22722840d4331a83fcfdd8edea22d372feba16ab,2012-12-05 23:17:34,1,[],[]
22,Elastic Search 4814,4271d57,2014-01-06 18:02:00,3f1472505723866794d875c00bde575d988e120d,2014-01-17 14:37:23,1,['4782'],[]
23,Elastic Search 5021,c7f6c5266,2013-11-24 11:13:08,07443089ce761cdfcf9206ad179381db7249d01a,2013-12-18 14:44:57,1,[],[]
24,Elastic Search 5048,c7f6c52,2013-11-24 11:13:08,e7e1667a26de5472e3419c586682b92c37c6e7d3,2013-12-18 16:56:38,1,['4508'],[]
25,Elastic Search 5165,3ca0239,2013-08-26 14:37:07,459d59a04ad4eb1671bac50a6faf3a7ad372d0e4,2013-08-16 08:59:20,1,[],[]
26,Elastic Search 5948,b35ca1a,2014-01-14 21:23:19,8561f897a984807958a543e378ab01349935a739,2014-01-15 17:22:36,1,[],[]
27,Elastic Search 7623,575250e,2010-02-22 07:26:08,ef85412f98e97ff5471013eab59fd8cb3046c17a,2010-03-12 14:30:30,1,[],[]
28,Elastic Search 764,4c34840,2010-10-06 22:44:53,7180636df6dfe6b18bf738ee2285549ea95a8cb9,2010-10-03 12:31:36,1,[],[]
29,Elastic Search 7686,c3f3c26,2011-04-19 21:30:30,90a339ad5e4a61e750d0342be6326de46f45bedc,2011-04-04 21:17:07,1,['831'],[]
30,Elastic Search 8125,61c21f9,2014-09-19 09:55:49,c55341bf515fec6d4135cee8a6e9a7a9764da17f,2014-08-28 18:58:34,1,[],[]
31,Elastic Search 8438,3c9c9f33,2014-08-01 15:01:08,976448e3395609276446e2b8dbeddb046823aa2e,2014-07-30 22:14:05,1,"['21', '27']",[]
32,Elastic Search 8507,3c142e5,2014-07-22 13:16:24,91c4824a0f768f2d3e3651958656384d0735a85e,2014-07-28 19:48:03,1,['7067'],['7067']
33,Elastic Search 8526,5aa0a8438f,2013-06-19 12:35:02,fc51ebfce8a87252d868d1f160ae740972b8e48a,2013-05-27 21:35:30,1,[],[]
34,Elastic Search 8580,3c142e5,2014-07-22 13:16:24,8865e60e936b57feb1a31d23b29ba0b212492766,2014-07-14 08:52:29,1,['6849'],"['6849', '6319']"
35,Elastic Search 864,8f32467,2010-03-25 00:00:53,03ee0a942df39c01e5e4f4ecb392a746e3d979af,2010-03-02 22:50:53,1,[],[]
