bug_id,archive_id,id,message
NOVA 1294939 - CG,msg11310,<52A78D60.204@linux.vnet.ibm.com>,"[openstack-dev] [Nova][Cells] compute api and objects

--



On Monday, December 09, 2013 4:58:31 PM, Sam Morrison wrote:
> Hi,
>
> I?m trying to fix up some cells issues related to objects. Do all compute api methods take objects now?
> cells is still sending DB objects for most methods (except start and stop) and I know there are more than that.
>
> Eg. I know lock/unlock, shelve/unshelve take objects, I assume there are others if not all methods now?
>
> Cheers,
> Sam
>
>
>
> _______________________________________________
> OpenStack-dev mailing list
> OpenStack-dev at lists.openstack.org
> http://lists.openstack.org/cgi-bin/mailman/listinfo/openstack-dev
>

I don't know the answer about cells, but posting a few bugs you've 
opened on the topic:

https://bugs.launchpad.net/nova/+bug/1251043
https://bugs.launchpad.net/nova/+bug/1257168

As for ""Do all compute api methods take objects now?"", I believe the 
answer is 'no'.  There are still some objects blueprints in the works.  
Here is a big one:

https://blueprints.launchpad.net/nova/+spec/compute-manager-objects

--

Thanks,

Matt Riedemann


"
NOVA 1314677 - CG,msg02607,<143319292.26341739.1375750900977.JavaMail.root@redhat.com>,"[openstack-dev] instances fail to boot on el6 (glance schema error
	issue)

--

As of an hour ago the el6 (Centos) builds in SmokeStack all started failing. I've documented the initial issue I'm seeing in this ticket:

 https://bugs.launchpad.net/nova/+bug/1208656

The issue seems to be that we now hit a SchemaError which bubbles up from glanceclient when the new direct download plugin code runs. This only seems to happen on distributions using python 2.6 as I'm not seeing the same thing on Fedora.

This stack trace also highlights the fact that the Glance v2 API now seems to be a requirement for Nova... and I'm not sure this is a good thing considering we still use the v1 API for many things as well. Ideally we'd have all Nova -> Glance communication use a single version of the Glance API (either v1 or v2... not both) right?

----

Sorry I didn't catch this one sooner. We only recently enabled Centos testing again (due to some resource limitations). Plus I just got back from vacation. :)

Dan

"
NOVA 1314677 - CG,msg02652,<1456368584.27125203.1375799345778.JavaMail.root@redhat.com>,"[openstack-dev] instances fail to boot on el6 (glance schema
 error	issue)

--

Okay. The quick fix is to remove the extra Glance V2 call when CONF.allowed_direct_url_schemes is disabled.

 https://review.openstack.org/#/c/40426/1

This effectively avoids calling the Glance V2 API on python 2.6 (thus avoiding the schema validation issue).

The real issue here is still unresolved however and it looks like we still have some work to do to get all the fancy new Glance V2 stuff fully working on python 2.6 distros (RHEL/Centos, etc).

Dan

----- Original Message -----
> From: ""Dan Prince"" <dprince at redhat.com>
> To: ""OpenStack Development Mailing List"" <openstack-dev at lists.openstack.org>
> Sent: Monday, August 5, 2013 9:01:40 PM
> Subject: [openstack-dev] instances fail to boot on el6 (glance schema error	issue)
> 
> As of an hour ago the el6 (Centos) builds in SmokeStack all started failing.
> I've documented the initial issue I'm seeing in this ticket:
> 
>  https://bugs.launchpad.net/nova/+bug/1208656
> 
> The issue seems to be that we now hit a SchemaError which bubbles up from
> glanceclient when the new direct download plugin code runs. This only seems
> to happen on distributions using python 2.6 as I'm not seeing the same thing
> on Fedora.
> 
> This stack trace also highlights the fact that the Glance v2 API now seems to
> be a requirement for Nova... and I'm not sure this is a good thing
> considering we still use the v1 API for many things as well. Ideally we'd
> have all Nova -> Glance communication use a single version of the Glance API
> (either v1 or v2... not both) right?
> 
> Dan

"
NOVA 1314677 - CG,msg02954,<OF26FE6722.B71E5577-ON86257BC3.000B26BE-86257BC3.000B4F55@us.ibm.com>,"[openstack-dev] instances fail to boot on el6 (glance schema
	error	issue)

--

Dan, I ran into problems with the glance v2 schema tests in tempest on 
RHEL 6.4 (python 2.6) until I updated jsonschema (1.3.0) and warlock 
(1.0.1).  Could that be related to your issue?

This was the related bug: https://bugs.launchpad.net/glance/+bug/1202391 



Thanks,

MATT RIEDEMANN
Advisory Software Engineer
Cloud Solutions and OpenStack Development

Phone: 1-507-253-7622 | Mobile: 1-507-990-1889
E-mail: mriedem at us.ibm.com


3605 Hwy 52 N
Rochester, MN 55901-1407
United States




From:   Dan Prince <dprince at redhat.com>
To:     OpenStack Development Mailing List 
<openstack-dev at lists.openstack.org>, 
Date:   08/06/2013 09:45 AM
Subject:        Re: [openstack-dev] instances fail to boot on el6 (glance 
schema error    issue)



Okay. The quick fix is to remove the extra Glance V2 call when 
CONF.allowed_direct_url_schemes is disabled.

 https://review.openstack.org/#/c/40426/1

This effectively avoids calling the Glance V2 API on python 2.6 (thus 
avoiding the schema validation issue).

The real issue here is still unresolved however and it looks like we still 
have some work to do to get all the fancy new Glance V2 stuff fully 
working on python 2.6 distros (RHEL/Centos, etc).

Dan

----- Original Message -----
> From: ""Dan Prince"" <dprince at redhat.com>
> To: ""OpenStack Development Mailing List"" 
<openstack-dev at lists.openstack.org>
> Sent: Monday, August 5, 2013 9:01:40 PM
> Subject: [openstack-dev] instances fail to boot on el6 (glance schema 
error            issue)
> 
> As of an hour ago the el6 (Centos) builds in SmokeStack all started 
failing.
> I've documented the initial issue I'm seeing in this ticket:
> 
>  https://bugs.launchpad.net/nova/+bug/1208656
> 
> The issue seems to be that we now hit a SchemaError which bubbles up 
from
> glanceclient when the new direct download plugin code runs. This only 
seems
> to happen on distributions using python 2.6 as I'm not seeing the same 
thing
> on Fedora.
> 
> This stack trace also highlights the fact that the Glance v2 API now 
seems to
> be a requirement for Nova... and I'm not sure this is a good thing
> considering we still use the v1 API for many things as well. Ideally 
we'd
> have all Nova -> Glance communication use a single version of the Glance 
API
> (either v1 or v2... not both) right?
> 
> Dan

_______________________________________________
OpenStack-dev mailing list
OpenStack-dev at lists.openstack.org
http://lists.openstack.org/cgi-bin/mailman/listinfo/openstack-dev


-------------- next part --------------
An HTML attachment was scrubbed...
URL: <http://lists.openstack.org/pipermail/openstack-dev/attachments/20130809/32a9a725/attachment.html>
-------------- next part --------------
A non-text attachment was scrubbed...
Name: not available
Type: image/gif
Size: 1851 bytes
Desc: not available
URL: <http://lists.openstack.org/pipermail/openstack-dev/attachments/20130809/32a9a725/attachment.gif>
"
NOVA 1343080,msg29884,<53CAD6A2.8040504@gmail.com>,"[openstack-dev] [nova] Some help needed on these darn API sample
	tests

--

Getting very frustrated, hoping someone can walk me back from the cliff.

I am trying to fix this simple bug:

https://bugs.launchpad.net/nova/+bug/1343080

The fix for it is ridiculously simple. It is removing this line:

https://github.com/openstack/nova/blob/master/nova/api/openstack/compute/views/images.py#L121

Removing that one line breaks around 26 tests, 25 of which are related 
to the API sample tests in the nova/tests/integrated/ directory. I 
expected this, and ran the unit test suite after removing the one line 
above specifically to identify the places that would need to be changed.

I went to all of the API sample template files in 
/nova/tests/integrated/api_samples and removed the offending piece of 
the changed URI. A total of 14 API sample template files needed to be 
changed (something quite ridiculous in my opinion):

http://paste.openstack.org/show/87225/

When I re-ran the tests, all of them failed again. Suffice to say, the 
test failure outputs are virtually pointless, as they have a misleading 
error message:

http://paste.openstack.org/show/87226/

It's not that there are extra list items in the template, which is what 
the failure message says. The problem is that the API samples from the 
templates into the /doc/api_samples/ directory were not re-generated 
when the templates changed.

The README in the /nova/tests/integrated/api_samples/ directory has this 
useful advice:

== start ==

Then run the following command:

GENERATE_SAMPLES=True tox -epy27 nova.tests.integrated
Which will create the files on doc/api_samples.

If new tests are added or the .tpl files are changed due to bug fixes, 
the samples must be regenerated so they are in sync with the templates, 
as there is an additional test which reloads the documentation and 
ensures that it's in sync.

Debugging sample generation

If a .tpl is changed, its matching .xml and .json must be removed else 
the samples won't be generated. If an entirely new extension is added, a 
directory for it must be created before its samples will be generated.

== end ==

So, I took the advice of the README and deleted the api samples in 
question from the /docs/api_samples/ folder:

rm doc/api_samples/images-*
rm doc/api_samples/OS-DCF/image-*

And then ran the tox invocation from above:

GENERATE_SAMPLES=True tox -epy27 nova.tests.integrated.test_api_samples

Unfortunately, the above bombed out in testr and produces a bunch of 
garbage, which I am uncertain how to debug:

http://paste.openstack.org/show/87227/

Would someone mind giving me a hand on this? I'd really appreciate it. 
It really should not be this hard to make such a simple fix to the API 
code. :(

Thanks in advance,
-jay

"
NOVA 1343080,msg29885,<CANw6fcGvZj0C74tRTzmrvgh2zz95GbH-Jn+qA=SbcM9=hKf9Yw@mail.gmail.com>,"[openstack-dev] [nova] Some help needed on these darn API
	sample tests

--

Jay,

I got this far - https://review.openstack.org/#/c/108220/ - there are
a handful of failures in ImagesControllerTest left. hope this helps.

-- dims

On Sat, Jul 19, 2014 at 4:35 PM, Jay Pipes <jaypipes at gmail.com> wrote:
> Getting very frustrated, hoping someone can walk me back from the cliff.
>
> I am trying to fix this simple bug:
>
> https://bugs.launchpad.net/nova/+bug/1343080
>
> The fix for it is ridiculously simple. It is removing this line:
>
> https://github.com/openstack/nova/blob/master/nova/api/openstack/compute/views/images.py#L121
>
> Removing that one line breaks around 26 tests, 25 of which are related to
> the API sample tests in the nova/tests/integrated/ directory. I expected
> this, and ran the unit test suite after removing the one line above
> specifically to identify the places that would need to be changed.
>
> I went to all of the API sample template files in
> /nova/tests/integrated/api_samples and removed the offending piece of the
> changed URI. A total of 14 API sample template files needed to be changed
> (something quite ridiculous in my opinion):
>
> http://paste.openstack.org/show/87225/
>
> When I re-ran the tests, all of them failed again. Suffice to say, the test
> failure outputs are virtually pointless, as they have a misleading error
> message:
>
> http://paste.openstack.org/show/87226/
>
> It's not that there are extra list items in the template, which is what the
> failure message says. The problem is that the API samples from the templates
> into the /doc/api_samples/ directory were not re-generated when the
> templates changed.
>
> The README in the /nova/tests/integrated/api_samples/ directory has this
> useful advice:
>
> == start ==
>
> Then run the following command:
>
> GENERATE_SAMPLES=True tox -epy27 nova.tests.integrated
> Which will create the files on doc/api_samples.
>
> If new tests are added or the .tpl files are changed due to bug fixes, the
> samples must be regenerated so they are in sync with the templates, as there
> is an additional test which reloads the documentation and ensures that it's
> in sync.
>
> Debugging sample generation
>
> If a .tpl is changed, its matching .xml and .json must be removed else the
> samples won't be generated. If an entirely new extension is added, a
> directory for it must be created before its samples will be generated.
>
> == end ==
>
> So, I took the advice of the README and deleted the api samples in question
> from the /docs/api_samples/ folder:
>
> rm doc/api_samples/images-*
> rm doc/api_samples/OS-DCF/image-*
>
> And then ran the tox invocation from above:
>
> GENERATE_SAMPLES=True tox -epy27 nova.tests.integrated.test_api_samples
>
> Unfortunately, the above bombed out in testr and produces a bunch of
> garbage, which I am uncertain how to debug:
>
> http://paste.openstack.org/show/87227/
>
> Would someone mind giving me a hand on this? I'd really appreciate it. It
> really should not be this hard to make such a simple fix to the API code. :(
>
> Thanks in advance,
> -jay
>
> _______________________________________________
> OpenStack-dev mailing list
> OpenStack-dev at lists.openstack.org
> http://lists.openstack.org/cgi-bin/mailman/listinfo/openstack-dev



-- 
Davanum Srinivas :: http://davanum.wordpress.com

"
NOVA 1370177,msg53958,<CAD5gMQ5Ot5OpSmdXLkzwToOZTTwP7__FTuAAVtSpUSs=EpG=aA@mail.gmail.com>,"[openstack-dev] [nova] Availability of device names for
 operations with volumes and BDM and other features.

--

Nicola, i would add some words to Alexandre repsonse.

We (standalone ec2api project guys) have filed some bugs (the main is [1]),
but we don't know how to fix them since the way Nova's device names are
moved on is unclear for us. Neither BP, nor wiki you've mentioned above
don't explain what was happened with device names in images.
Other bug which we filed by results of bdm v2 implementation [2] was
resolved, but the fix returns only two devices (even if more than two
volumes are defined in the image) instead of to write device names to the
image and to return full bdm.

I hope you will clarify this question (Alexandre referred to the patch with
explicit elimination of device names for images).

Also you mentioned that we can still use bdm v1. We do it now for instance
launch, but we would like to switch to v2 to use new features like blank
volumes which are provided by AWS as well. However v2 based launch has a
suspicious feature which i asked about in ML [3], but no one answered me.
It would be great if you clarify that question too.

[1] https://bugs.launchpad.net/nova/+bug/1370177
[2] https://bugs.launchpad.net/nova/+bug/1370265
[3] http://lists.openstack.org/pipermail/openstack-dev/2015-May/063769.html


On Wed, May 27, 2015 at 8:55 PM, Nikola ?ipanov <ndipanov at redhat.com> wrote:

> On 05/27/2015 09:47 AM, Alexandre Levine wrote:
> > Hi all,
> >
> > I'd like to bring up this matter again, although it was at some extent
> > discussed during the recent summit.
> >
> > The problem arises from the fact that the functionality exposing device
> > names for usage through public APIs is deteriorating in nova. It's being
> > deliberately removed because as I understand, it doesn't universally and
> > consistently work in all of the backends. It happens  since IceHouse and
> > introduction of bdm v2. The following very recent review is one of the
> > ongoing efforts in this direction:
> > https://review.openstack.org/#/c/185438/
> >
>
> I've abandoned the change as it is clear we need to discuss how to go
> about this some more.
>
> But first let me try to give a bit more detailed explanation and
> background to what the deal is with device names. Supplying device names
> that will be honoured by the guests is really only possible with Xen PV
> guests (meaning the guest needs to be running PV-enabled kernel and
> drivers).
>
> Back in Havana, when we were working on [1] (see [2] for more details)
> the basic idea was that we will still accept device names because
> removing them from the public API is not likely to happen (mostly
> because of the EC2 compatibility), but in case of libvirt driver, we
> will treat them as hints only, and provide our own (by mostly
> replicating the logic libvirt uses to order devices [3]). We also
> allowed for device names to not be specified by the user as this is
> really what anyone not using the EC2 API should be doing (users using
> the EC2 API do however need to be aware the fact that i may not be
> honoured).
>
> [1]
> https://blueprints.launchpad.net/nova/+spec/improve-block-device-handling
> [2] https://wiki.openstack.org/wiki/BlockDeviceConfig
> [3]
>
> https://github.com/openstack/nova/blob/master/nova/virt/libvirt/blockinfo.py
>
> > The reason for my concern is that EC2 API have some important cases
> > relying on this information (some of them have no workarounds). Namely:
> > 1. Change of parameters set by image for instance booting.
> > 2. Showing instance's devices information by euca2ools.
> > 3. Providing additional volumes for instance booting
> > 4. Attaching volume
> > etc...
> >
>
> So based on the above - it seems to me that you think we are removing
> the information about device names completely. That's not the case -
> currently it is simply not mandatory for the Nova boot API call (it was
> never mandatory for volume attach afaict) - you can still pass it in,
> though libvirt may not honour it. It will still be tracked by the Nova
> DB and available for users to refer to.
>
> > Related to device names and additional related features we have troubles
> > with now:
> > 1. All device name related features
>
> As I said - they are not removed, in addition, you can still completely
> disregard the BDMv2 syntax as Nova should transparently handle old-style
> syntax when passed in (actually since BDM info is stored with images
> when snapshotting and it may have been v1 syntax - it is likely that we
> will never remove this support). If you are seeing some bugs related to
> this - please report them.
>
> > 2. Modification of deleteOnTermination flag
>
> I don't have enough details on this but if some behaviour has changed
> when using the old syntax - it is likely a bug so please report it.
>
> > 3. Modification of parameters for instance booting
>
> Again - I am not sure what this is related to exactly - but none of the
> parameters have changed really (only new ones were added). It would be
> good to get more information on this (preferably a bug report).
>
> > 4. deleteOnTermination and size of volume aren't stored into instance
> > snapshots now.
> >
>
> This does sound like a bug - and hopefully an easy to fix one.
>
> > Discussions during the summit on the matter were complicated because
> > nobody present really understood in details why and what is happening
> > with this functionality in nova. It was decided though, that overall
> > direction would be to add necessary features or restore them unless
> > there is something really showstopping:
> > https://etherpad.openstack.org/p/YVR-nova-contributor-meetup
> >
> > As I understand, Nikola Depanov is the one working on the matter for
> > some time obviously is the best person who can help to resolve the
> > situation. Nikola, if possible, could you help with it and clarify the
> > issue.
> >
> > My suggestion, based on my limited knowledge at the moment, still is to
> > restore back or add all of the necessary APIs and provide tickets or
> > known issues for the cases where the functionality is suffering from the
> > backend limitations.
> >
> > Please let me know what you think.
> >
>
> As explained above - nothing was intentionally removed, and if something
> broke - it's a bug that we should fix, so I urge the team behind the EC2
> API on stackforge to report those, and I will try to at least look into
> them, if not fix them. We might want to have a tag for EC2 related bugs
> in LP (I seem to remember there being such a thing before).
>
> Device names though are not something we can easily resolve without
> having the users of the EC2 API be aware that they may be talking to a
> Nova deployment, however I am unsure how much of a problem this is in
> practice, as I believe most users would have to be anyway.
>
> Hope this lifts some of the mystery around the topic - and I look
> forward to helping the EC2 efforts - but we really need to make sure we
> have the issues written down first :)
>
> N.
>
> __________________________________________________________________________
> OpenStack Development Mailing List (not for usage questions)
> Unsubscribe: OpenStack-dev-request at lists.openstack.org?subject:unsubscribe
> http://lists.openstack.org/cgi-bin/mailman/listinfo/openstack-dev
>
-------------- next part --------------
An HTML attachment was scrubbed...
URL: <http://lists.openstack.org/pipermail/openstack-dev/attachments/20150529/b9f932f9/attachment.html>
"
NOVA 1370177,msg54057,<5568CCEC.6030001@redhat.com>,"[openstack-dev] [nova] Availability of device names for
 operations with volumes and BDM and other features.

--

On 05/29/2015 12:55 AM, Feodor Tersin wrote:
> Nicola, i would add some words to Alexandre repsonse.
> 
> We (standalone ec2api project guys) have filed some bugs (the main is
> [1]), but we don't know how to fix them since the way Nova's device
> names are moved on is unclear for us. Neither BP, nor wiki you've
> mentioned above don't explain what was happened with device names in images.
> Other bug which we filed by results of bdm v2 implementation [2] was
> resolved, but the fix returns only two devices (even if more than two
> volumes are defined in the image) instead of to write device names to
> the image and to return full bdm.
> 
> I hope you will clarify this question (Alexandre referred to the patch
> with explicit elimination of device names for images).
> 
> Also you mentioned that we can still use bdm v1. We do it now for
> instance launch, but we would like to switch to v2 to use new features
> like blank volumes which are provided by AWS as well. However v2 based
> launch has a suspicious feature which i asked about in ML [3], but no
> one answered me. It would be great if you clarify that question too.
> 
> [1] https://bugs.launchpad.net/nova/+bug/1370177
> [2] https://bugs.launchpad.net/nova/+bug/1370265
> [3] http://lists.openstack.org/pipermail/openstack-dev/2015-May/063769.html
> 

Hey Feodor and Alexandre - Thanks for the detailed information!

I have already commented on some of the bugs above and provided a small
patch that I think fixes one bit of it. As described on the bug - device
names might be a bit trickier, but I hope to have something posted next
week.

Help with testing (while patches are in review) would be hugely appreciated!

On 05/28/2015 02:24 PM, Alexandre Levine wrote:
> 1. RunInstance. Change parameters of devices during instance booting
> from image. In Grizzly it worked so we could specify changed BDM in
> parameters, it overwrote in nova DB the one coming from image and then
> started the instance with new parameters. The only key for addressing
> devices in this use case is the very device name. And now we don't have
> it for the volumes in BDM coming from the image, because nova stopped
> putting this information into the image.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.html
>
> 2. Devices names for Xen-backed instances to work fully. We should be
> able to specify required device names during initial instance creation,
> they should be stored into an image when the instance is shapshotted, we
> can fetch info and change parameters of such volume during subsequent
> operations, and the device names inside the instance should be named
> exactly.
>
> 3. DescribeInstances and DescribeInstanceAttributes to return BDM with
> device names ideally corresponding to actual device naming in instance.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstances.html
>
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstanceAttribute.html
>
>
> 4. DescribeImages and DescribeImageAttributes to return BDM with device
> names ideally corresponding to the ones in instance before snapshotting.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeImages.html
>
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeImageAttribute.html
>

I think all of the above is pretty much covered by
https://bugs.launchpad.net/nova/+bug/1370177

>
> 5. AttachVolume with the specified device name.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AttachVolume.html
>
> 6. ModifyInstanceAttribute with BDM as parameter.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ModifyInstanceAttribute.html
>
>
> 7. ModifyImageAttribute with BDM as parameter.
>
http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ModifyImageAttribute.html

I am not sure about these 3 cases - would it be possible to actually
report bugs for them as I don't think I have enough information this way.

N.

"
NOVA 1370177,msg54311,<556DA3F8.7000304@cloudscaling.com>,"[openstack-dev] [nova] Availability of device names for
 operations with volumes and BDM and other features.

--

Thank you Nikola.

We'll be adding the required tickets and will follow your reviews, 
however the person working primarily on this subject (Feodor Tersin) is 
out for his vacation for a couple of weeks so some of our responses 
might be delayed until then. Still we'll try to do whatever can be done 
without him at the time being.

Best regards,
   Alex Levine


On 5/29/15 11:32 PM, Nikola ?ipanov wrote:
> On 05/29/2015 12:55 AM, Feodor Tersin wrote:
>> Nicola, i would add some words to Alexandre repsonse.
>>
>> We (standalone ec2api project guys) have filed some bugs (the main is
>> [1]), but we don't know how to fix them since the way Nova's device
>> names are moved on is unclear for us. Neither BP, nor wiki you've
>> mentioned above don't explain what was happened with device names in images.
>> Other bug which we filed by results of bdm v2 implementation [2] was
>> resolved, but the fix returns only two devices (even if more than two
>> volumes are defined in the image) instead of to write device names to
>> the image and to return full bdm.
>>
>> I hope you will clarify this question (Alexandre referred to the patch
>> with explicit elimination of device names for images).
>>
>> Also you mentioned that we can still use bdm v1. We do it now for
>> instance launch, but we would like to switch to v2 to use new features
>> like blank volumes which are provided by AWS as well. However v2 based
>> launch has a suspicious feature which i asked about in ML [3], but no
>> one answered me. It would be great if you clarify that question too.
>>
>> [1] https://bugs.launchpad.net/nova/+bug/1370177
>> [2] https://bugs.launchpad.net/nova/+bug/1370265
>> [3] http://lists.openstack.org/pipermail/openstack-dev/2015-May/063769.html
>>
> Hey Feodor and Alexandre - Thanks for the detailed information!
>
> I have already commented on some of the bugs above and provided a small
> patch that I think fixes one bit of it. As described on the bug - device
> names might be a bit trickier, but I hope to have something posted next
> week.
>
> Help with testing (while patches are in review) would be hugely appreciated!
>
> On 05/28/2015 02:24 PM, Alexandre Levine wrote:
>> 1. RunInstance. Change parameters of devices during instance booting
>> from image. In Grizzly it worked so we could specify changed BDM in
>> parameters, it overwrote in nova DB the one coming from image and then
>> started the instance with new parameters. The only key for addressing
>> devices in this use case is the very device name. And now we don't have
>> it for the volumes in BDM coming from the image, because nova stopped
>> putting this information into the image.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.html
>> 2. Devices names for Xen-backed instances to work fully. We should be
>> able to specify required device names during initial instance creation,
>> they should be stored into an image when the instance is shapshotted, we
>> can fetch info and change parameters of such volume during subsequent
>> operations, and the device names inside the instance should be named
>> exactly.
>>
>> 3. DescribeInstances and DescribeInstanceAttributes to return BDM with
>> device names ideally corresponding to actual device naming in instance.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstances.html
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstanceAttribute.html
>>
>> 4. DescribeImages and DescribeImageAttributes to return BDM with device
>> names ideally corresponding to the ones in instance before snapshotting.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeImages.html
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeImageAttribute.html
> I think all of the above is pretty much covered by
> https://bugs.launchpad.net/nova/+bug/1370177
>
>> 5. AttachVolume with the specified device name.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_AttachVolume.html
>> 6. ModifyInstanceAttribute with BDM as parameter.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ModifyInstanceAttribute.html
>>
>> 7. ModifyImageAttribute with BDM as parameter.
>>
> http://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_ModifyImageAttribute.html
>
> I am not sure about these 3 cases - would it be possible to actually
> report bugs for them as I don't think I have enough information this way.
>
> N.
>
> __________________________________________________________________________
> OpenStack Development Mailing List (not for usage questions)
> Unsubscribe: OpenStack-dev-request at lists.openstack.org?subject:unsubscribe
> http://lists.openstack.org/cgi-bin/mailman/listinfo/openstack-dev


"
NOVA 1370590,msg61340,<55D536AB.6080403@linux.vnet.ibm.com>,"[openstack-dev] [nova][qa] libvirt + LXC CI - where's the beef?

--

After spending a few hours on 
https://bugs.launchpad.net/nova/+bug/1370590 I'm annoyed by the fact we 
don't yet have a CI system for testing libvirt + LXC.

At the Juno midcycle in Portland I thought I remember some guy(s) from 
Rackspace talking about getting a CI job running, whatever happened with 
that?

It seems like we should be able to get this going using community infra, 
right?  Just need some warm bodies to get the parts together and figure 
out which Tempest tests can't be run with that setup - but we have the 
hypervisor support matrix to help us out as a starter.

It also seems unfair to require third party CI for libvirt + parallels 
(virtuozzo) but we don't have the same requirement for LXC.

What gives?!

-- 

Thanks,

Matt Riedemann


"
